<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,W,280621,000000,35284.0500000
GDAX.BTC-USD,W,050721,000000,34259.2300000
GDAX.BTC-USD,W,120721,000000,31788.2500000
GDAX.BTC-USD,W,190721,000000,35428.2600000
GDAX.BTC-USD,W,260721,000000,39865.4100000
GDAX.BTC-USD,W,020821,000000,43829.1400000
GDAX.BTC-USD,W,090821,000000,47014.4900000
GDAX.BTC-USD,W,160821,000000,49284.6300000
GDAX.BTC-USD,W,230821,000000,48802.5800000
GDAX.BTC-USD,W,300821,000000,51789.1700000
GDAX.BTC-USD,W,060921,000000,46024.2300000
GDAX.BTC-USD,W,130921,000000,47255.9200000
GDAX.BTC-USD,W,200921,000000,43178.0200000
GDAX.BTC-USD,W,270921,000000,48233.9900000
GDAX.BTC-USD,W,041021,000000,54690.5300000
GDAX.BTC-USD,W,111021,000000,61527.1100000
GDAX.BTC-USD,W,181021,000000,60854.4800000
GDAX.BTC-USD,W,251021,000000,61343.6800000
GDAX.BTC-USD,W,011121,000000,63309.1300000
GDAX.BTC-USD,W,081121,000000,65505.0200000
GDAX.BTC-USD,W,151121,000000,58671.2100000
GDAX.BTC-USD,W,221121,000000,57317.1700000
GDAX.BTC-USD,W,291121,000000,49484.2200000
GDAX.BTC-USD,W,061221,000000,50089.6400000
GDAX.BTC-USD,W,131221,000000,46687.1900000
GDAX.BTC-USD,W,201221,000000,50801.7900000
GDAX.BTC-USD,W,271221,000000,47299.0700000
GDAX.BTC-USD,W,030122,000000,41876.5200000
GDAX.BTC-USD,W,100122,000000,43104.3400000
GDAX.BTC-USD,W,170122,000000,36282.4700000
GDAX.BTC-USD,W,240122,000000,37901.3500000
GDAX.BTC-USD,W,310122,000000,42415.1600000
GDAX.BTC-USD,W,070222,000000,42074.9900000
GDAX.BTC-USD,W,140222,000000,38389.0300000
GDAX.BTC-USD,W,210222,000000,37717.0800000
GDAX.BTC-USD,W,280222,000000,38408.3800000
GDAX.BTC-USD,W,070322,000000,37793.0100000
GDAX.BTC-USD,W,140322,000000,41287.2400000
GDAX.BTC-USD,W,210322,000000,46850.0100000
GDAX.BTC-USD,W,280322,000000,46422.1600000
GDAX.BTC-USD,W,040422,000000,42165.9600000
GDAX.BTC-USD,W,110422,000000,39683.5400000
GDAX.BTC-USD,W,180422,000000,39464.5600000
GDAX.BTC-USD,W,250422,000000,38473.0500000
GDAX.BTC-USD,W,020522,000000,34027.9100000
